TF,symbol,gene
V.NFKB_Q6_01,RELA,NDC80
V.NFKB_Q6_01,RELA,ARID3A
V.NFKB_Q6_01,RELA,PRKDC
V.NFKB_Q6_01,RELA,CBL
V.NFKB_Q6_01,RELA,ICAM1
V.NFKB_Q6_01,RELA,CKAP5
V.NFKB_Q6_01,RELA,STAT3
V.NFKB_Q6_01,RELA,GRB2
V.NFKB_Q6_01,RELA,TP53
V.NFKB_Q6_01,RELA,BUB1
V.NFKB_Q6_01,RELA,ANAPC10
V.NFKB_Q6_01,RELA,TGFA
V.NFKB_Q6_01,RELA,FZR1
V.NFKB_Q6_01,RELA,NFKB1
V.NFKB_Q6_01,RELA,SNRPA
V.NFKB_Q6_01,RELA,CREBBP
V.NFKB_Q6_01,RELA,CDC27
V.NFKB_Q6_01,RELA,MAD2L1
V.NFKB_Q6_01,RELA,YWHAG
V.NFKB_Q6_01,RELA,HDAC1
V.NFKB_Q6_01,RELA,PSMC2
V.NFKB_Q6_01,RELA,BRCA1
V.NFKB_Q6_01,RELA,IL4R
V.NFKB_Q6_01,RELA,NMT2
V.NFKB_Q6_01,RELA,MOCOS
V.NFKB_Q6_01,RELA,TBP
V.NFKB_Q6_01,RELA,SKIL
V.NFKB_Q6_01,RELA,DDX5
V.NFKB_Q6_01,RELA,TOP2A
V.NFKB_Q6_01,RELA,SNRNP70
V.NFKB_Q6_01,RELA,PRKCA
V.NFKB_Q6_01,RELA,SMAD2
V.NFKB_Q6_01,RELA,SRPK1
V.NFKB_Q6_01,RELA,FN1
V.NFKB_Q6_01,RELA,CCNA2
V.NFKB_Q6_01,RELA,SNRPD2
V.NFKB_Q6_01,RELA,PPM1D
V.NFKB_Q6_01,RELA,CHUK
V.NFKB_Q6_01,RELA,SCAMP1
V.NFKB_Q6_01,RELA,SHC1
V.NFKB_Q6_01,RELA,CDC20
V.NFKB_Q6_01,RELA,TPX2
V.NFKB_Q6_01,RELA,PIAS3
V.NFKB_Q6_01,RELA,PIAS4
V.NFKB_Q6_01,RELA,TEC
V.NFKB_Q6_01,RELA,HMGA2
V.NFKB_Q6_01,RELA,HUWE1
V.NFKB_Q6_01,RELA,PRKACA
V.NFKB_Q6_01,RELA,RRM2B
V.NFKB_Q6_01,RELA,MAPK8
V.NFKB_Q6_01,RELA,HMGB2
V.NFKB_Q6_01,RELA,CAV1
V.NFKB_Q6_01,RELA,PRPF40A
V.NFKB_Q6_01,RELA,PML
V.NFKB_Q6_01,RELA,PTPN11
V.NFKB_Q6_01,RELA,CDK2
V.NFKB_Q6_01,RELA,CDK1
V.NFKB_Q6_01,RELA,ANXA1
V.NFKB_Q6_01,RELA,LRP1
V.NFKB_Q6_01,RELA,ITGA5
V.NFKB_Q6_01,RELA,PIAS1
V.NFKB1_Q4,RELA,CREBBP
V.NFKB1_Q4,RELA,GRB2
V.NFKB1_Q4,RELA,CSNK2A1
V.NFKB1_Q4,RELA,TOP2A
V.NFKB1_Q4,RELA,THBS1
V.NFKB1_Q4,RELA,FZR1
V.NFKB1_Q4,RELA,PTTG1
V.NFKB1_Q4,RELA,EGFR
V.NFKB1_Q4,RELA,TBP
V.NFKB1_Q4,RELA,PIAS1
V.NFKB1_Q4,RELA,PRKDC
V.NFKB1_Q4,RELA,SNRPA
V.NFKB1_Q4,RELA,BUB1
V.NFKB1_Q4,RELA,CDC27
V.NFKB1_Q4,RELA,PIAS3
V.NFKB1_Q4,RELA,HTT
V.NFKB1_Q4,RELA,SNRPD2
V.NFKB1_Q4,RELA,LRP1
V.NFKB1_Q4,RELA,ANAPC10
V.NFKB1_Q4,RELA,SNRNP70
V.NFKB1_Q4,RELA,NDC80
V.NFKB1_Q4,RELA,BRCA1
V.NFKB1_Q4,RELA,PRKCA
V.NFKB1_Q4,RELA,CBL
V.NFKB1_Q4,RELA,CDC16
V.NFKB1_Q4,RELA,RB1
V.NFKB1_Q4,RELA,DDX5
V.NFKB1_Q4,RELA,ARIH2
V.NFKB1_Q4,RELA,TP53
V.NFKB1_Q4,RELA,YWHAG
V.NFKB1_Q4,RELA,MOCOS
V.NFKB1_Q4,RELA,SKIL
V.NFKB1_Q4,RELA,STAT3
V.NFKB1_Q4,RELA,JAK2
V.NFKB1_Q4,RELA,PPM1D
V.NFKB1_Q4,RELA,CHUK
V.NFKB1_Q4,RELA,HUWE1
V.NFKB1_Q4,RELA,TGFA
V.NFKB1_Q4,RELA,PSMC2
V.NFKB1_Q4,RELA,CDC20
V.NFKB1_Q4,RELA,ICAM1
V.NFKB1_Q4,RELA,PIAS4
V.NFKB1_Q4,RELA,EP300
V.NFKB1_Q4,RELA,RRM2B
V.NFKB1_Q4,RELA,COL13A1
V.NFKB1_Q4,RELA,NMT2
V.NFKB1_Q4,RELA,HMGA2
V.NFKB1_Q4,RELA,MAD2L1
V.NFKB1_Q4,RELA,SHC1
V.NFKB1_Q4,RELA,SCAMP1
V.NFKB1_Q4,RELA,SMAD2
V.NFKB1_Q4,RELA,PML
V.NFKB1_Q4,RELA,NFKB1
V.NFKB1_Q4,RELA,CAV1
V.NFKB1_Q4,RELA,ARID3A
V.NFKB1_Q4,RELA,FN1
V.NFKB1_Q4,RELA,PRPF40A
V.NFKB1_Q4,RELA,TPX2
V.NFKB1_Q4,RELA,PRKACA
V.NFKB1_Q4,RELA,TEC
V.NFKB1_Q4,RELA,CDK2
V.NFKB1_Q4,RELA,PTPN11
V.NFKB1_Q4,RELA,HMGB2
V.NFKB1_Q4,RELA,AURKA
V.NFKB1_Q4,RELA,ITGA5
V.NFKB1_Q4,RELA,MAPK8
V.NFKB1_Q4,RELA,TAF1B
V.NFKB1_Q4,RELA,SOCS5
V.NFY_01,NFYC,CSNK2A1
V.NFY_01,NFYC,CREBBP
V.NFY_01,NFYC,SRPK1
V.NFY_01,NFYC,CDC16
V.NFY_01,NFYC,TGFA
V.NFY_01,NFYC,CBL
V.NFY_01,NFYC,RRM2B
V.NFY_01,NFYC,SHC1
V.NFY_01,NFYC,TPX2
V.NFY_01,NFYC,IL4R
V.NFY_01,NFYC,PPM1D
V.NFY_01,NFYC,TAF1B
V.NFY_01,NFYC,COL13A1
V.NFY_01,NFYC,CCNA2
V.NFY_01,NFYC,TEC
V.NFY_01,NFYC,SCAMP1
V.NFY_01,NFYC,CDK2
V.NFY_01,NFYC,SKIL
V.NFY_01,NFYC,SNRNP70
V.NFY_01,NFYC,PIAS3
V.NFY_01,NFYC,NFKB1
V.NFY_01,NFYC,HTT
V.NFY_01,NFYC,PTTG1
V.NFY_01,NFYC,FZR1
V.NFY_01,NFYC,MAPK8
V.NFY_01,NFYC,MOCOS
V.NFY_01,NFYC,PRKACA
V.NFY_01,NFYC,SMAD2
V.NFY_01,NFYC,BUB1
V.NFY_01,NFYC,ANAPC10
V.NFY_01,NFYC,NDC80
V.NFY_01,NFYC,HUWE1
V.NFY_01,NFYC,GRB2
V.NFY_01,NFYC,EP300
V.NFY_01,NFYC,NMT2
V.NFY_01,NFYC,JAK2
V.NFY_01,NFYC,CDK1
V.NFY_01,NFYC,SNRPD2
V.NFY_01,NFYC,SNRPA
V.NFY_01,NFYC,PIAS4
V.NFY_01,NFYC,TP53
V.NFY_01,NFYC,AURKA
V.NFY_01,NFYC,PIAS1
V.NFY_01,NFYC,BRCA1
V.NFY_01,NFYC,DDX5
V.NFY_01,NFYC,HMGB2
V.NFY_01,NFYC,CHUK
V.NFY_01,NFYC,CDC27
V.NFY_01,NFYC,PTPN11
V.NFY_01,NFYC,CDC20
V.NFY_01,NFYC,LRP1
V.NFY_01,NFYC,SOCS5
V.NFY_01,NFYC,FN1
V.NFY_01,NFYC,PRKDC
V.NFY_01,NFYC,PRPF40A
V.NFY_01,NFYC,PML
V.NFY_01,NFYC,PSMC2
V.NFY_01,NFYC,MAD2L1
V.NFY_01,NFYC,THBS1
V.NFY_01,NFYC,YWHAG
V.NFY_01,NFYC,ANXA1
V.NFY_01,NFYC,CKAP5
V.NFY_01,NFYC,CAV1
V.NFY_01,NFYC,STAT3
V.NFY_01,NFYC,HDAC1
V.NFY_01,NFYC,RB1
V.NFY_01,NFYC,EGFR
V.NFY_01,NFYC,TBP
V.NFY_01,NFYC,ITGA5
V.NFY_01,NFYC,ARIH2
V.NFY_01,NFYC,ICAM1
V.NFY_01,NFYC,TOP2A
V.NFY_C,NFYC,BRCA1
V.NFY_C,NFYC,SMAD2
V.NFY_C,NFYC,FN1
V.NFY_C,NFYC,TAF1B
V.NFY_C,NFYC,COL13A1
V.NFY_C,NFYC,PRKCA
V.NFY_C,NFYC,PIAS3
V.NFY_C,NFYC,SCAMP1
V.NFY_C,NFYC,CSNK2A1
V.NFY_C,NFYC,CDC16
V.NFY_C,NFYC,CAV1
V.NFY_C,NFYC,CCNA2
V.NFY_C,NFYC,SHC1
V.NFY_C,NFYC,NFKB1
V.NFY_C,NFYC,SKIL
V.NFY_C,NFYC,ARID3A
V.NFY_C,NFYC,TP53
V.NFY_C,NFYC,FZR1
V.NFY_C,NFYC,CDK2
V.NFY_C,NFYC,IL4R
V.NFY_C,NFYC,PIAS4
V.NFY_C,NFYC,PRPF40A
V.NFY_C,NFYC,TPX2
V.NFY_C,NFYC,TEC
V.NFY_C,NFYC,PRKACA
V.NFY_C,NFYC,PIAS1
V.NFY_C,NFYC,MOCOS
V.NFY_C,NFYC,HUWE1
V.NFY_C,NFYC,NDC80
V.NFY_C,NFYC,HTT
V.NFY_C,NFYC,CDC27
V.NFY_C,NFYC,CKAP5
V.NFY_C,NFYC,SNRNP70
V.NFY_C,NFYC,SNRPA
V.NFY_C,NFYC,SNRPD2
V.NFY_C,NFYC,ARIH2
V.NFY_C,NFYC,LRP1
V.NFY_C,NFYC,AURKA
V.NFY_C,NFYC,PPM1D
V.NFY_C,NFYC,STAT3
V.NFY_C,NFYC,PML
V.NFY_C,NFYC,GRB2
V.NFY_C,NFYC,PSMC2
V.NFY_C,NFYC,RB1
V.NFY_C,NFYC,TOP2A
V.NFY_C,NFYC,ITGA5
V.NFY_C,NFYC,BUB1
V.NFY_C,NFYC,TBP
V.NFY_C,NFYC,ANXA1
V.NFY_C,NFYC,MAPK8
V.NFY_C,NFYC,HMGA2
V.NFY_C,NFYC,CDK1
V.NFY_C,NFYC,SOCS5
V.NFY_C,NFYC,HDAC1
V.NFY_C,NFYC,PTPN11
V.NFY_C,NFYC,THBS1
V.NFY_C,NFYC,ICAM1
V.NFY_C,NFYC,MAD2L1
V.NFY_C,NFYC,PRKDC
V.NFY_C,NFYC,NMT2
V.NFY_C,NFYC,EP300
V.NFY_C,NFYC,DDX5
V.NFY_C,NFYC,JAK2
V.NFY_Q3,NFYC,BUB1
V.NFY_Q3,NFYC,FN1
V.NFY_Q3,NFYC,BRCA1
V.NFY_Q3,NFYC,HDAC1
V.NFY_Q3,NFYC,SHC1
V.NFY_Q3,NFYC,PIAS4
V.NFY_Q3,NFYC,TPX2
V.NFY_Q3,NFYC,SMAD2
V.NFY_Q3,NFYC,TOP2A
V.NFY_Q3,NFYC,AURKA
V.NFY_Q3,NFYC,CDK1
V.NFY_Q3,NFYC,SNRPA
V.NFY_Q6,NFYC,BRCA1
V.NFY_Q6,NFYC,TOP2A
V.NFY_Q6,NFYC,SMAD2
V.NFY_Q6,NFYC,HDAC1
V.NFY_Q6,NFYC,BUB1
V.NFY_Q6,NFYC,STAT3
V.NFY_Q6,NFYC,CDK1
V.NFY_Q6,NFYC,SNRPD2
V.NFY_Q6,NFYC,SNRPA
V.NFY_Q6,NFYC,AURKA
V.NFY_Q6,NFYC,PRKDC
V.NFY_Q6,NFYC,GRB2
V.NFY_Q6,NFYC,TAF1B
V.NFY_Q6_01,NFYC,PRKCA
V.NFY_Q6_01,NFYC,CSNK2A1
V.NFY_Q6_01,NFYC,NDC80
V.NFY_Q6_01,NFYC,TPX2
V.NFY_Q6_01,NFYC,SMAD2
V.NFY_Q6_01,NFYC,TGFA
V.NFY_Q6_01,NFYC,COL13A1
V.NFY_Q6_01,NFYC,BUB1
V.NFY_Q6_01,NFYC,FZR1
V.NFY_Q6_01,NFYC,PIAS3
V.NFY_Q6_01,NFYC,TP53
V.NFY_Q6_01,NFYC,TEC
V.NFY_Q6_01,NFYC,BRCA1
V.NFY_Q6_01,NFYC,CCNA2
V.NFY_Q6_01,NFYC,PTTG1
V.NFY_Q6_01,NFYC,PPM1D
V.NFY_Q6_01,NFYC,CKAP5
V.NFY_Q6_01,NFYC,SCAMP1
V.NFY_Q6_01,NFYC,SNRPD2
V.NFY_Q6_01,NFYC,HMGB2
V.NFY_Q6_01,NFYC,AURKA
V.NFY_Q6_01,NFYC,LRP1
V.NFY_Q6_01,NFYC,CDK2
V.NFY_Q6_01,NFYC,SNRPA
V.NFY_Q6_01,NFYC,HUWE1
V.NFY_Q6_01,NFYC,FN1
V.NFY_Q6_01,NFYC,PRKACA
V.NFY_Q6_01,NFYC,TOP2A
V.NFY_Q6_01,NFYC,PRKDC
V.NFY_Q6_01,NFYC,EP300
V.NFY_Q6_01,NFYC,CDC27
V.NFY_Q6_01,NFYC,NFKB1
V.NFY_Q6_01,NFYC,PML
V.NFY_Q6_01,NFYC,CDK1
V.NFY_Q6_01,NFYC,ARIH2
V.NFY_Q6_01,NFYC,EGFR
V.NFY_Q6_01,NFYC,JAK2
V.NFY_Q6_01,NFYC,PTPN11
V.NFY_Q6_01,NFYC,MAPK8
V.NFY_Q6_01,NFYC,TAF1B
V.NFY_Q6_01,NFYC,RB1
V.NFY_Q6_01,NFYC,HTT
V.NFY_Q6_01,NFYC,SHC1
V.NFY_Q6_01,NFYC,CDC16
V.NFY_Q6_01,NFYC,MOCOS
V.NFY_Q6_01,NFYC,SRPK1
V.NFY_Q6_01,NFYC,MAD2L1
V.NFY_Q6_01,NFYC,ITGA5
V.NFY_Q6_01,NFYC,SOCS5
V.NFY_Q6_01,NFYC,ICAM1
V.NFY_Q6_01,NFYC,STAT3
V.NFY_Q6_01,NFYC,PIAS4
V.NFY_Q6_01,NFYC,CAV1
V.NFY_Q6_01,NFYC,PRPF40A
V.NFY_Q6_01,NFYC,DDX5
V.NFY_Q6_01,NFYC,NMT2
V.NFY_Q6_01,NFYC,THBS1
V.NFY_Q6_01,NFYC,HDAC1
V.NFY_Q6_01,NFYC,PIAS1
V.NFY_Q6_01,NFYC,CDC20
V.NFY_Q6_01,NFYC,PSMC2
V.NFY_Q6_01,NFYC,ANXA1
V.NFY_Q6_01,NFYC,CHUK
V.NFY_Q6_01,NFYC,GRB2
V.NFY_Q6_01,NFYC,TBP
V.NFYC_01,NFYC,IL4R
V.NFYC_01,NFYC,TPX2
V.NFYC_01,NFYC,JAK2
V.NFYC_01,NFYC,SCAMP1
V.NFYC_01,NFYC,SHC1
V.NFYC_01,NFYC,NDC80
V.NFYC_01,NFYC,CDK2
V.NFYC_01,NFYC,SOCS5
V.NFYC_01,NFYC,ANAPC10
V.NFYC_01,NFYC,STAT3
V.NFYC_01,NFYC,HTT
V.NFYC_01,NFYC,CCNA2
V.NFYC_01,NFYC,ICAM1
V.NFYC_01,NFYC,CDC27
V.NFYC_01,NFYC,SNRPD2
V.NFYC_01,NFYC,SNRNP70
V.NFYC_01,NFYC,TEC
V.NFYC_01,NFYC,PRKDC
V.NFYC_01,NFYC,CBL
V.NFYC_01,NFYC,HMGA2
V.NFYC_01,NFYC,SRPK1
V.NFYC_01,NFYC,TOP2A
V.NFYC_01,NFYC,MAD2L1
V.NFYC_01,NFYC,CSNK2A1
V.NFYC_01,NFYC,BRCA1
V.NFYC_01,NFYC,ARIH2
V.NFYC_01,NFYC,SMAD2
V.NFYC_01,NFYC,HUWE1
V.NFYC_01,NFYC,CDK1
V.NFYC_01,NFYC,CAV1
V.NFYC_01,NFYC,TGFA
V.NFYC_01,NFYC,RRM2B
V.NFYC_01,NFYC,BUB1
V.NFYC_01,NFYC,CDC20
V.NFYC_01,NFYC,HDAC1
V.NFYC_01,NFYC,FZR1
V.NFYC_01,NFYC,SNRPA
V.NFYC_01,NFYC,CDC16
V.NFYC_01,NFYC,PIAS1
V.NFYC_01,NFYC,ITGA5
V.NFYC_01,NFYC,FN1
V.NFYC_01,NFYC,TP53
V.NFYC_01,NFYC,NFKB1
V.NFYC_01,NFYC,COL13A1
V.NFYC_01,NFYC,PIAS3
V.NFYC_01,NFYC,RB1
V.NFYC_01,NFYC,LRP1
V.NFYC_01,NFYC,YWHAG
V.NFYC_01,NFYC,EP300
V.NFYC_01,NFYC,PRPF40A
V.NFYC_01,NFYC,PPM1D
V.NFYC_01,NFYC,MOCOS
V.NFYC_01,NFYC,MAPK8
V.NFYC_01,NFYC,PRKACA
V.NFYC_01,NFYC,PML
V.NFYC_01,NFYC,PTTG1
V.NFYC_01,NFYC,ARID3A
V.NFYC_01,NFYC,CHUK
V.NFYC_01,NFYC,EGFR
V.NFYC_01,NFYC,PIAS4
V.NFYC_01,NFYC,GRB2
V.NFYC_01,NFYC,PRKCA
V.NFYC_01,NFYC,HMGB2
V.NFYC_01,NFYC,THBS1
V.NFYC_01,NFYC,AURKA
V.NFYC_01,NFYC,SKIL
V.NFYC_01,NFYC,TAF1B
V.NFYC_01,NFYC,PTPN11
V.NFYC_01,NFYC,DDX5
V.NFYC_01,NFYC,CKAP5
V.NFYC_01,NFYC,ANXA1
V.NFYC_01,NFYC,TBP
V.NFYC_01,NFYC,NMT2
V.NFYC_01,NFYC,PSMC2
V.NFYC_Q5,NFYC,COL13A1
V.NFYC_Q5,NFYC,BRCA1
V.NFYC_Q5,NFYC,NFKB1
V.NFYC_Q5,NFYC,PRKDC
V.NFYC_Q5,NFYC,SHC1
V.NFYC_Q5,NFYC,CKAP5
V.NFYC_Q5,NFYC,TP53
V.NFYC_Q5,NFYC,PIAS4
V.NFYC_Q5,NFYC,PTTG1
V.NFYC_Q5,NFYC,BUB1
V.NFYC_Q5,NFYC,PRKACA
V.NFYC_Q5,NFYC,CCNA2
V.NFYC_Q5,NFYC,SNRPD2
V.NFYC_Q5,NFYC,RB1
V.NFYC_Q5,NFYC,TPX2
V.NFYC_Q5,NFYC,SMAD2
V.NFYC_Q5,NFYC,EP300
V.NFYC_Q5,NFYC,FN1
V.NFYC_Q5,NFYC,AURKA
V.NFYC_Q5,NFYC,TAF1B
V.NFYC_Q5,NFYC,SNRPA
V.NFYC_Q5,NFYC,THBS1
V.NFYC_Q5,NFYC,TOP2A
V.NFYC_Q5,NFYC,HDAC1
V.NFYC_Q5,NFYC,CDK1
V.NFYC_Q5,NFYC,GRB2
V.NFYC_Q5,NFYC,ANXA1
V.NFYC_Q5,NFYC,TEC
V.NFYC_Q5,NFYC,PIAS1
V.NFYC_Q5,NFYC,CDC27
V.NFYC_Q5,NFYC,TBP
V.NFYC_Q5,NFYC,DDX5
V.NFYC_Q5,NFYC,EGFR
V.NFYC_Q5,NFYC,STAT3
V.NFYC_Q5,NFYC,CDC20
V.NFYC_Q5,NFYC,PRPF40A
V.P50RELAP65_Q5_01,RELA,TEC
V.P50RELAP65_Q5_01,RELA,CKAP5
V.P50RELAP65_Q5_01,RELA,PTTG1
V.P50RELAP65_Q5_01,RELA,SNRPA
V.P50RELAP65_Q5_01,RELA,FZR1
V.P50RELAP65_Q5_01,RELA,THBS1
V.P50RELAP65_Q5_01,RELA,RB1
V.P50RELAP65_Q5_01,RELA,EGFR
V.P50RELAP65_Q5_01,RELA,RRM2B
V.P50RELAP65_Q5_01,RELA,ITGA5
V.P50RELAP65_Q5_01,RELA,PPM1D
V.P50RELAP65_Q5_01,RELA,SNRPD2
V.P50RELAP65_Q5_01,RELA,TAF1B
V.P50RELAP65_Q5_01,RELA,YWHAG
V.P50RELAP65_Q5_01,RELA,CSNK2A1
V.P50RELAP65_Q5_01,RELA,TOP2A
V.P50RELAP65_Q5_01,RELA,IL4R
V.P50RELAP65_Q5_01,RELA,PTPN11
V.P50RELAP65_Q5_01,RELA,HUWE1
V.P50RELAP65_Q5_01,RELA,HMGA2
V.P50RELAP65_Q5_01,RELA,PIAS4
V.P50RELAP65_Q5_01,RELA,CDC16
V.P50RELAP65_Q5_01,RELA,COL13A1
V.P50RELAP65_Q5_01,RELA,CDK2
V.P50RELAP65_Q5_01,RELA,ARID3A
V.P50RELAP65_Q5_01,RELA,PRKDC
V.P50RELAP65_Q5_01,RELA,SOCS5
V.P50RELAP65_Q5_01,RELA,CAV1
V.P50RELAP65_Q5_01,RELA,HTT
V.P50RELAP65_Q5_01,RELA,CDC20
V.P50RELAP65_Q5_01,RELA,SCAMP1
V.P50RELAP65_Q5_01,RELA,MAD2L1
V.P50RELAP65_Q5_01,RELA,JAK2
V.P50RELAP65_Q5_01,RELA,HMGB2
V.P50RELAP65_Q5_01,RELA,NMT2
V.P50RELAP65_Q5_01,RELA,FN1
V.P50RELAP65_Q5_01,RELA,TBP
V.P50RELAP65_Q5_01,RELA,CHUK
V.P50RELAP65_Q5_01,RELA,ICAM1
V.P50RELAP65_Q5_01,RELA,ANAPC10
V.P50RELAP65_Q5_01,RELA,PRKACA
V.P50RELAP65_Q5_01,RELA,DDX5
V.P50RELAP65_Q5_01,RELA,CREBBP
V.P50RELAP65_Q5_01,RELA,TGFA
V.P50RELAP65_Q5_01,RELA,CBL
V.P50RELAP65_Q5_01,RELA,NDC80
V.P50RELAP65_Q5_01,RELA,SRPK1
V.P50RELAP65_Q5_01,RELA,PIAS3
V.P50RELAP65_Q5_01,RELA,NFKB1
V.P50RELAP65_Q5_01,RELA,PRPF40A
V.P50RELAP65_Q5_01,RELA,PML
V.P50RELAP65_Q5_01,RELA,GRB2
V.P50RELAP65_Q5_01,RELA,PSMC2
V.P50RELAP65_Q5_01,RELA,HDAC1
V.P50RELAP65_Q5_01,RELA,SKIL
V.P50RELAP65_Q5_01,RELA,BRCA1
V.P50RELAP65_Q5_01,RELA,MOCOS
V.P50RELAP65_Q5_01,RELA,CCNA2
V.P50RELAP65_Q5_01,RELA,TPX2
V.P50RELAP65_Q5_01,RELA,STAT3
V.P50RELAP65_Q5_01,RELA,SMAD2
V.P50RELAP65_Q5_01,RELA,EP300
V.P50RELAP65_Q5_01,RELA,ARIH2
V.P50RELAP65_Q5_01,RELA,TP53
V.P50RELAP65_Q5_01,RELA,PIAS1
V.P50RELAP65_Q5_01,RELA,LRP1
V.P50RELAP65_Q5_01,RELA,BUB1
V.P50RELAP65_Q5_01,RELA,SNRNP70
V.P50RELAP65_Q5_01,RELA,MAPK8
V.P50RELAP65_Q5_01,RELA,PRKCA
V.P50RELAP65_Q5_01,RELA,SHC1
V.P50RELAP65_Q5_01,RELA,CDC27
V.RELA_02,RELA,PML
V.RELA_02,RELA,THBS1
V.RELA_02,RELA,HMGB2
V.RELA_02,RELA,DDX5
V.RELA_02,RELA,ARIH2
V.RELA_02,RELA,EGFR
V.RELA_02,RELA,CDC16
V.RELA_02,RELA,ITGA5
V.RELA_02,RELA,MAD2L1
V.RELA_02,RELA,YWHAG
V.RELA_02,RELA,CDC27
V.RELA_02,RELA,CDK2
V.RELA_02,RELA,PIAS4
V.RELA_02,RELA,CSNK2A1
V.RELA_02,RELA,CREBBP
V.RELA_02,RELA,NMT2
V.RELA_02,RELA,HMGA2
V.RELA_02,RELA,FN1
V.RELA_02,RELA,PTTG1
V.RELA_02,RELA,PTPN11
V.RELA_02,RELA,ANAPC10
V.RELA_02,RELA,PSMC2
V.RELA_02,RELA,BRCA1
V.RELA_02,RELA,PRKDC
V.RELA_02,RELA,ICAM1
V.RELA_02,RELA,GRB2
V.RELA_02,RELA,NFKB1
V.RELA_02,RELA,TP53
V.RELA_02,RELA,CHUK
V.RELA_03,RELA,SNRPA
V.RELA_03,RELA,TAF1B
V.RELA_03,RELA,CDC20
V.RELA_03,RELA,AURKA
V.RELA_03,RELA,MOCOS
V.RELA_03,RELA,SRPK1
V.RELA_03,RELA,PTTG1
V.RELA_03,RELA,CHUK
V.RELA_03,RELA,ITGA5
V.RELA_03,RELA,SNRPD2
V.RELA_03,RELA,PRPF40A
V.RELA_03,RELA,ANXA1
V.RELA_03,RELA,DDX5
V.RELA_03,RELA,TEC
V.RELA_03,RELA,TPX2
V.RELA_03,RELA,TBP
V.RELA_03,RELA,TOP2A
V.RELA_03,RELA,ANAPC10
V.RELA_03,RELA,ARIH2
V.RELA_03,RELA,HDAC1
V.RELA_03,RELA,HUWE1
V.RELA_03,RELA,CDK2
V.RELA_03,RELA,JAK2
V.RELA_03,RELA,CDK1
V.RELA_03,RELA,IL4R
V.RELA_03,RELA,PIAS4
V.RELA_03,RELA,NMT2
V.RELA_03,RELA,THBS1
V.RELA_03,RELA,YWHAG
V.RELA_03,RELA,HMGA2
V.RELA_03,RELA,STAT3
V.RELA_03,RELA,GRB2
V.RELA_03,RELA,LRP1
V.RELA_03,RELA,SOCS5
V.RELA_03,RELA,PPM1D
V.RELA_03,RELA,CKAP5
V.RELA_03,RELA,RRM2B
V.RELA_03,RELA,ARID3A
V.RELA_03,RELA,EGFR
V.RELA_03,RELA,PIAS1
V.RELA_03,RELA,CCNA2
V.RELA_03,RELA,SNRNP70
V.RELA_03,RELA,BRCA1
V.RELA_03,RELA,TGFA
V.RELA_03,RELA,ICAM1
V.RELA_03,RELA,CBL
V.RELA_03,RELA,EP300
V.RELA_03,RELA,FZR1
V.RELA_03,RELA,PRKDC
V.RELA_03,RELA,HTT
V.RELA_03,RELA,PML
V.RELA_03,RELA,MAD2L1
V.RELA_03,RELA,NFKB1
V.RELA_03,RELA,RB1
V.RELA_03,RELA,COL13A1
V.RELA_03,RELA,HMGB2
V.RELA_03,RELA,PRKACA
V.RELA_03,RELA,PTPN11
V.RELA_03,RELA,PSMC2
V.RELA_03,RELA,CDC16
V.RELA_03,RELA,PIAS3
