source,target,int,,,,,,,
MAPK14,MAPK14,phosphorylation,,,,,,,
PBK,MAPK14,phosphorylation,,,,,,,
PBK,MAPK14,phosphorylation,,,,,,,
PPM1A,MAPK14,dephosphorylation,,,,,,,
PPM1A,MAPK14,dephosphorylation,,,,,,,
PPM1D,MAPK14,dephosphorylation,,,,,,,
TAB1,MAPK14,activation;,binding,,,,,,
DUSP1,MAPK3,dephosphorylation,,,,,,,
MAP2K1,MAPK3,activation;,phosphorylation;,binding,,,,,
MAP2K1,MAPK3,phosphorylation,,,,,,,
PAK2,MAPK6,phosphorylation,,,,,,,
PAK2,MAPK6,phosphorylation,,,,,,,
DUSP1,MAPK8,dephosphorylation,,,,,,,
KAT2B,MAPK8,acetylation,,,,,,,
MAP2K3,MAPK8,activation;,phosphorylation,,,,,,
MAP2K4,MAPK8,activation;,phosphorylation,,,,,,
MAP2K4,MAPK8,phosphorylation,,,,,,,
MAP2K6,MAPK8,activation;,phosphorylation,,,,,,
MAP2K7,MAPK8,activation;,phosphorylation,,,,,,
MAP2K7,MAPK8,phosphorylation,,,,,,,
MAP2K3,MAPK9,activation;,phosphorylation,,,,,,
MAP2K4,MAPK9,activation;,phosphorylation,,,,,,
MAP2K4,MAPK9,phosphorylation,,,,,,,
MAP2K6,MAPK9,activation;,phosphorylation,,,,,,
MAP2K7,MAPK9,activation;,phosphorylation,,,,,,
MAP2K7,MAPK9,activation;,phosphorylation,,,,,,
MAP2K7,MAPK9,phosphorylation,,,,,,,
PAK2,MAPK9,activation,,,,,,,
MTOR,MAPKAP1:MLST8:MTOR:RICTOR,binding;,reversible,,,,,,
MAPK11,MAPKAPK2,activation;,phosphorylation,,,,,,
MAPK11,MAPKAPK2,phosphorylation,,,,,,,
MAPK12,MAPKAPK2,phosphorylation,,,,,,,
MAPK14,MAPKAPK2,activation;,phosphorylation,,,,,,
MAPK14,MAPKAPK2,phosphorylation,,,,,,,
MAPK14,MAPKAPK2,phosphorylation,,,,,,,
MAPK14,MAPKAPK2,phosphorylation,,,,,,,
MAPK14,MAPKAPK2,phosphorylation,,,,,,,
MAPK14,MAPKAPK2,phosphorylation,,,,,,,
MAPK6,MAPKAPK2,activation;,phosphorylation,,,,,,
MAPK6,MAPKAPK2,activation;,phosphorylation,,,,,,
MAPK14,MAPKAPK3,activation;,phosphorylation,,,,,,
MAPK14,MAPKAPK3,activation;,phosphorylation,,,,,,
MAPK14,MAPKAPK3,activation;,phosphorylation,,,,,,
MAPK6,MAPKAPK3,unknown;,phosphorylation,,,,,,
AKT1,MDM2,phosphorylation,,,,,,,
TP53,MDM2,phosphorylation,,,,,,,
TRIM28,MDM2,sumoylation,,,,,,,
MTOR,MTOR:RICTOR,binding;,reversible,,,,,,
MTOR,MTOR:RPTOR,binding;,reversible,,,,,,
CHUK,NFKBIA,phosphorylation,,,,,,,
EIF2AK2,NFKBIA,phosphorylation,,,,,,,
EIF2AK2,NFKBIA,phosphorylation,,,,,,,
IKBKB,NFKBIA,phosphorylation,,,,,,,
IKBKB,NFKBIA,phosphorylation,,,,,,,
RAF1,NFKBIA,inhibition;,phosphorylation;,binding,,,,,
RPS6KA1,NFKBIA,phosphorylation,,,,,,,
JUN,NOTCH1,decrease,of,abundance,,,,,
TP53,NOTCH1,increase,of,abundance,,,,,
GSK3B,OGT,phosphorylation,,,,,,,
GSK3B,OGT,phosphorylation,,,,,,,
CDK5,PAK1,phosphorylation,,,,,,,
CSNK2A1,PAK1,phosphorylation,,,,,,,
MAPK1,PAK1,phosphorylation,,,,,,,
MAPK1,PAK1,phosphorylation,,,,,,,
RAC1,PAK1,activation;,binding,,,,,,
STK11,PAK1,phosphorylation,,,,,,,
KAT2B,PDPK1,acetylation,,,,,,,
MAPKAPK2,PIAS1,phosphorylation,,,,,,,
SUMO1,PIAS1,activation;,sumoylation,,,,,,
RELA,PKM,increase,of,abundance,,,,,
CDK6,PKN1,phosphorylation,,,,,,,
AURKA,PLK1,phosphorylation,,,,,,,
CDK1,PLK1,phosphorylation,,,,,,,
CDK1,PLK1,phosphorylation,,,,,,,
CDK1,PLK1,phosphorylation,,,,,,,
MAPKAPK2,PLK1,phosphorylation,,,,,,,
MAPKAPK2,PLK1,phosphorylation,,,,,,,
PAK1,PLK1,phosphorylation,,,,,,,
PRKACA,PLK1,activation;,phosphorylation,,,,,,
STK10,PLK1,phosphorylation,,,,,,,
STK10,PLK1,phosphorylation,,,,,,,
HIPK2,PPM1D,phosphorylation,,,,,,,
RELA,PPM1D,increase,of,abundance,,,,,
PRKCD,PPP2CA,phosphorylation,,,,,,,
DKK1,PRKCA,increase,of,abundance,,,,,
MTOR:RICTOR,PRKCA,phosphorylation,,,,,,,
CASP3,PRKCD,processing,,,,,,,
PPM1A,PRKCD,dephosphorylation,,,,,,,
RPS6KA3,PTK6,increase,of,abundance,,,,,
AKT1,PTPN1,phosphorylation,,,,,,,
AKT1,PTPN1,phosphorylation,,,,,,,
AKT1,PTPN1,phosphorylation,,,,,,,
MAPK3,PTPN11,phosphorylation,,,,,,,
MAPK6,PTPN7,activation;,binding;,phosphorylation,,,,,
AKT1,RAC1,inhibition;,phosphorylation,,,,,,
AKT1,RAF1,inhibition;,phosphorylation;,binding,,,,,
AKT1,RAF1,phosphorylation,,,,,,,
PRKCA,RAF1,phosphorylation,,,,,,,
PRMT5,RAF1,methylation,,,,,,,
MAPK8,RARA,phosphorylation,,,,,,,
MAPK8,RARA,phosphorylation,,,,,,,
MAPK9,RARA,phosphorylation,,,,,,,
MAP2K4,RARB,inhibition;,phosphorylation,,,,,,
CDK6,RB1,phosphorylation,,,,,,,
CDK6,RELA,phosphorylation,,,,,,,
CDK6,RELA,phosphorylation,,,,,,,
CDK6,RELA,phosphorylation,,,,,,,
CDK6,RELA,phosphorylation,,,,,,,
CDK6,RELA,phosphorylation,,,,,,,
CHUK,RELA,phosphorylation,,,,,,,
CHUK,RELA,phosphorylation,,,,,,,
CHUK,RELA,phosphorylation,,,,,,,
CHUK,RELA,phosphorylation,,,,,,,
CHUK:IKBKB,RELA,phosphorylation,,,,,,,
COMMD1,RELA,decrease,of,abundance,,,,,
COMMD1,RELA,ubiquitination,,,,,,,
COMMD1,RELA,ubiquitination,,,,,,,
COMMD1,RELA,ubiquitination,,,,,,,
COMMD1,RELA,ubiquitination,,,,,,,
COMMD1,RELA,ubiquitination,,,,,,,
CUL2,RELA,ubiquitination,,,,,,,
CUL2,RELA,ubiquitination,,,,,,,
CUL2,RELA,ubiquitination,,,,,,,
CUL2,RELA,ubiquitination,,,,,,,
CUL2,RELA,ubiquitination,,,,,,,
EP300,RELA,acetylation,,,,,,,
EP300,RELA,acetylation,,,,,,,
EP300,RELA,acetylation,,,,,,,
EP300,RELA,acetylation,,,,,,,
EP300,RELA,acetylation,,,,,,,
EP300,RELA,acetylation,,,,,,,
EP300,RELA,acetylation,,,,,,,
EP300,RELA,acetylation,,,,,,,
EP300,RELA,acetylation,,,,,,,
EP300,RELA,acetylation,,,,,,,
EP300,RELA,acetylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
GSK3B,RELA,phosphorylation,,,,,,,
HDAC1,RELA,deacetylation,,,,,,,
IKBKB,RELA,phosphorylation,,,,,,,
IKBKB,RELA,phosphorylation,,,,,,,
IKBKB,RELA,phosphorylation,,,,,,,
IKBKB,RELA,phosphorylation,,,,,,,
IKBKB,RELA,phosphorylation,,,,,,,
IKBKB,RELA,phosphorylation,,,,,,,
IKBKB,RELA,phosphorylation,,,,,,,
IKBKB,RELA,phosphorylation,,,,,,,
IKBKB,RELA,phosphorylation,,,,,,,
IKBKB,RELA,phosphorylation,,,,,,,
OGT,RELA,O-glycosylation,,,,,,,
OGT,RELA,O-glycosylation,,,,,,,
OGT,RELA,O-glycosylation,,,,,,,
OGT,RELA,O-glycosylation,,,,,,,
PIAS1,RELA,sumoylation,,,,,,,
PIAS1,RELA,sumoylation,,,,,,,
PIAS1,RELA,sumoylation,,,,,,,
PIAS1,RELA,sumoylation,,,,,,,
PIAS1,RELA,sumoylation,,,,,,,
PPM1D,RELA,dephosphorylation,,,,,,,
PPP2CA,RELA,dephosphorylation,,,,,,,
PPP2CA,RELA,dephosphorylation,,,,,,,
PPP2CA,RELA,dephosphorylation,,,,,,,
PPP4C,RELA,dephosphorylation,,,,,,,
PRKACA,RELA,phosphorylation,,,,,,,
PRKACA,RELA,phosphorylation,,,,,,,
PRKACA,RELA,phosphorylation,,,,,,,
PRKACA,RELA,phosphorylation,,,,,,,
PRKACA,RELA,phosphorylation,,,,,,,
PRMT5,RELA,methylation,,,,,,,
PRMT5,RELA,methylation,,,,,,,
PRMT5,RELA,methylation,,,,,,,
PRMT5,RELA,methylation,,,,,,,
PRMT5,RELA,methylation,,,,,,,
RELA,RELA,acetylation,,,,,,,
RELA,RELA,deacetylation,,,,,,,
RELA,RELA,cleavage,,,,,,,
RELA,RELA,cleavage,,,,,,,
RELA,RELA,deacetylation,,,,,,,
RELA,RELA,deacetylation,,,,,,,
RELA,RELA,deacetylation,,,,,,,
RELA,RELA,degradation,,,,,,,
RELA,RELA,dephosphorylation,,,,,,,
RPS6KA5,RELA,phosphorylation,,,,,,,
RPS6KA5,RELA,phosphorylation,,,,,,,
RPS6KA5,RELA,phosphorylation,,,,,,,
RPS6KA5,RELA,phosphorylation,,,,,,,
RPS6KA5,RELA,phosphorylation,,,,,,,
RPS6KA5,RELA,phosphorylation,,,,,,,
RPS6KA5,RELA,phosphorylation,,,,,,,
RPS6KA5,RELA,phosphorylation,,,,,,,
RPS6KA5,RELA,phosphorylation,,,,,,,
RPS6KA5,RELA,phosphorylation,,,,,,,
SETD7,RELA,methylation,,,,,,,
SETD7,RELA,methylation,,,,,,,
SETD7,RELA,methylation,,,,,,,
SETD7,RELA,methylation,,,,,,,
SETD7,RELA,methylation,,,,,,,
SIRT1,RELA,deacetylation,,,,,,,
SIRT1,RELA,deacetylation,,,,,,,
SIRT1,RELA,deacetylation,,,,,,,
SIRT1,RELA,deacetylation,,,,,,,
SIRT1,RELA,deacetylation,,,,,,,
SIRT1,RELA,deacetylation,,,,,,,
SIRT1,RELA,deacetylation,,,,,,,
ubiquitin,RELA,ubiquitination,,,,,,,
GSK3B,RICTOR,phosphorylation,,,,,,,
GSK3B,RICTOR,phosphorylation,,,,,,,
MAPK1,RPS6KA1,phosphorylation,,,,,,,
MAPK6,RPS6KA1,activation;,phosphorylation,,,,,,
MAPK8,RPS6KA1,activation;,phosphorylation,,,,,,
MAPK8,RPS6KA1,activation;,phosphorylation,,,,,,
MAPK9,RPS6KA1,activation;,phosphorylation,,,,,,
MAPK6,RPS6KA2,activation;,phosphorylation,,,,,,
MAPK6,RPS6KA3,activation;,phosphorylation,,,,,,
PPM1D,RPS6KA3,dephosphorylation,,,,,,,
MAPK1,RPS6KA5,phosphorylation,,,,,,,
MAPK1,RPS6KA5,phosphorylation,,,,,,,
MAPK1,RPS6KA5,phosphorylation,,,,,,,
MAPK11,RPS6KA5,activation;,phosphorylation,,,,,,
MAPK11,RPS6KA5,phosphorylation,,,,,,,
MAPK14,RPS6KA5,activation;,phosphorylation,,,,,,
MAPK14,RPS6KA5,activation;,phosphorylation,,,,,,
MAPK14,RPS6KA5,activation;,phosphorylation,,,,,,
MAPK14,RPS6KA5,activation;,phosphorylation,,,,,,
MAPK14,RPS6KA5,phosphorylation,,,,,,,
MAPK14,RPS6KA5,phosphorylation,,,,,,,
MAPK14,RPS6KA5,phosphorylation,,,,,,,
MAPK6,RPS6KA5,activation;,phosphorylation,,,,,,
MAPK6,RPS6KB1,activation;,phosphorylation,,,,,,
MAPK8,RPS6KB1,phosphorylation,,,,,,,
MAPK8,RPS6KB1,phosphorylation,,,,,,,
MAPK9,RPS6KB1,phosphorylation,,,,,,,
MTOR,RPS6KB1,activation;,phosphorylation,,,,,,
FMR1,SIRT1,increase,of,abundance,,,,,
MTOR:RPTOR,SIRT1,phosphorylation,,,,,,,
PLK1,SIRT1,phosphorylation,,,,,,,
RELA,SIRT1,increase,of,abundance,,,,,
TARDBP,SIRT1,increase,of,abundance,,,,,
USP22,SIRT1,deubiquitination,,,,,,,
USP22,SIRT1,deubiquitination,,,,,,,
USP22,SIRT1,deubiquitination,,,,,,,
USP22,SIRT1,deacetylation,,,,,,,
USP22,SIRT1,deacetylation,,,,,,,
USP22,SIRT1,deacetylation,,,,,,,
CSNK1E,SKP2,phosphorylation,,,,,,,
GSK3B,SNAI1,phosphorylation,,,,,,,
GSK3B,SNAI1,phosphorylation,,,,,,,
GSK3B,SNAI1,phosphorylation,,,,,,,
GSK3B,SNAI1,phosphorylation,,,,,,,
GSK3B,SNAI1,phosphorylation,,,,,,,
GSK3B,SNAI1,phosphorylation,,,,,,,
GSK3B,SNAI1,phosphorylation,,,,,,,
GSK3B,SNAI1,phosphorylation,,,,,,,
HIF1A,SNAI1,increase,of,abundance,,,,,
HIF1A,SNAI1,increase,of,abundance,,,,,
LATS2,SNAI1,phosphorylation,,,,,,,
LATS2,SNAI1,phosphorylation,,,,,,,
MAPK1,SNAI1,phosphorylation,,,,,,,
PRKACA,SNAI1,phosphorylation,,,,,,,
UBE2D3,SNAI1,ubiquitination,,,,,,,
MAPK8,SPI1,phosphorylation,,,,,,,
MAPK8,SPI1,phosphorylation,,,,,,,
MAPK8,SPI1,phosphorylation,,,,,,,
CDK5,STAT3,phosphorylation,,,,,,,
CDK5,STAT3,phosphorylation,,,,,,,
CDK5,STAT3,phosphorylation,,,,,,,
CDK5,STAT3,phosphorylation,,,,,,,
CDKN1A,STAT3,inhibition;,binding,,,,,,
CDKN1A,STAT3,inhibition;,binding,,,,,,
CDKN1A,STAT3,inhibition;,binding,,,,,,
CDKN1A,STAT3,inhibition;,binding,,,,,,
EGFR,STAT3,phosphorylation,,,,,,,
EIF2AK2:PDGFB:PDGFRB,STAT3,phosphorylation,,,,,,,
EIF2AK2:PDGFB:PDGFRB,STAT3,phosphorylation,,,,,,,
EIF2AK2:PDGFB:PDGFRB,STAT3,phosphorylation,,,,,,,
EIF2AK2:PDGFB:PDGFRB,STAT3,phosphorylation,,,,,,,
EP300,STAT3,acetylation,,,,,,,
EP300,STAT3,acetylation,,,,,,,
EP300,STAT3,acetylation,,,,,,,
EP300,STAT3,acetylation,,,,,,,
EP300,STAT3,acetylation,,,,,,,
EP300,STAT3,acetylation,,,,,,,
EP300,STAT3,acetylation,,,,,,,
EP300,STAT3,acetylation,,,,,,,
ERBB2,STAT3,phosphorylation,,,,,,,
ERBB2,STAT3,phosphorylation,,,,,,,
ERBB2,STAT3,phosphorylation,,,,,,,
ERBB3,STAT3,phosphorylation,,,,,,,
ERBB3,STAT3,phosphorylation,,,,,,,
ERBB3,STAT3,phosphorylation,,,,,,,
GSK3B,STAT3,phosphorylation,,,,,,,
GSK3B,STAT3,phosphorylation,,,,,,,
GSK3B,STAT3,phosphorylation,,,,,,,
GSK3B,STAT3,phosphorylation,,,,,,,
GSK3B,STAT3,phosphorylation,,,,,,,
GSK3B,STAT3,phosphorylation,,,,,,,
GSK3B,STAT3,phosphorylation,,,,,,,
GSK3B,STAT3,phosphorylation,,,,,,,
GSK3B,STAT3,phosphorylation,,,,,,,
GSK3B,STAT3,phosphorylation,,,,,,,
GSK3B,STAT3,phosphorylation,,,,,,,
GSK3B,STAT3,phosphorylation,,,,,,,
JAK3,STAT3,activation;,phosphorylation,,,,,,
MAP3K1,STAT3,phosphorylation,,,,,,,
MAP3K1,STAT3,phosphorylation,,,,,,,
MAP3K1,STAT3,phosphorylation,,,,,,,
MAPK1,STAT3,phosphorylation,,,,,,,
MAPK1,STAT3,phosphorylation,,,,,,,
MAPK1,STAT3,phosphorylation,,,,,,,
MAPK1,STAT3,phosphorylation,,,,,,,
MAPK1,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK14,STAT3,phosphorylation,,,,,,,
MAPK8,STAT3,phosphorylation,,,,,,,
MAPK8,STAT3,phosphorylation,,,,,,,
MAPK8,STAT3,phosphorylation,,,,,,,
MAPK8,STAT3,phosphorylation,,,,,,,
MAPK8,STAT3,phosphorylation,,,,,,,
MAPK8,STAT3,phosphorylation,,,,,,,
MAPK8,STAT3,phosphorylation,,,,,,,
MAPK8,STAT3,phosphorylation,,,,,,,
MAPK8,STAT3,phosphorylation,,,,,,,
MAPK8,STAT3,phosphorylation,,,,,,,
MAPK8,STAT3,phosphorylation,,,,,,,
MAPK8,STAT3,phosphorylation,,,,,,,
MAPK9,STAT3,phosphorylation,,,,,,,
MAPK9,STAT3,phosphorylation,,,,,,,
MAPK9,STAT3,phosphorylation,,,,,,,
MAPK9,STAT3,phosphorylation,,,,,,,
MAPK9,STAT3,phosphorylation,,,,,,,
MAPK9,STAT3,phosphorylation,,,,,,,
MAPK9,STAT3,phosphorylation,,,,,,,
MTOR,STAT3,phosphorylation,,,,,,,
MTOR,STAT3,phosphorylation,,,,,,,
MTOR,STAT3,phosphorylation,,,,,,,
MTOR,STAT3,phosphorylation,,,,,,,
PKM,STAT3,phosphorylation,,,,,,,
PKM,STAT3,phosphorylation,,,,,,,
PKM,STAT3,phosphorylation,,,,,,,
PKM,STAT3,phosphorylation,,,,,,,
PTPN1,STAT3,dephosphorylation,,,,,,,
PTPN1,STAT3,dephosphorylation,,,,,,,
PTPN1,STAT3,dephosphorylation,,,,,,,
PTPN1,STAT3,dephosphorylation,,,,,,,
PTPN1,STAT3,dephosphorylation,,,,,,,
PTPN1,STAT3,dephosphorylation,,,,,,,
PTPN1,STAT3,dephosphorylation,,,,,,,
RPS6KA5,STAT3,phosphorylation,,,,,,,
RPS6KA5,STAT3,phosphorylation,,,,,,,
RPS6KA5,STAT3,phosphorylation,,,,,,,
RPS6KA5,STAT3,phosphorylation,,,,,,,
RPS6KA5,STAT3,phosphorylation,,,,,,,
RPS6KA5,STAT3,phosphorylation,,,,,,,
RPS6KA5,STAT3,phosphorylation,,,,,,,
RPS6KA5,STAT3,phosphorylation,,,,,,,
RPS6KA5,STAT3,activation;,phosphorylation,,,,,,
SETD7,STAT3,methylation,,,,,,,
SETD7,STAT3,methylation,,,,,,,
SETD7,STAT3,methylation,,,,,,,
SETD7,STAT3,methylation,,,,,,,
SIRT1,STAT3,deacetylation,,,,,,,
SIRT1,STAT3,deacetylation,,,,,,,
SIRT1,STAT3,deacetylation,,,,,,,
SIRT1,STAT3,deacetylation,,,,,,,
STAT3,STAT3,deacetylation,,,,,,,
MAPK3,STK10,phosphorylation,,,,,,,
RPS6KA5,STK11,phosphorylation,,,,,,,
PIAS1,SUMO1,sumoylation,,,,,,,
AKT1,TCF3,phosphorylation,,,,,,,
AKT1,TCF3,phosphorylation,,,,,,,
CREBBP,TCF3,acetylation,,,,,,,
EP300,TCF3,acetylation,,,,,,,
KAT2B,TCF3,acetylation,,,,,,,
MAP2K1,TCF3,decrease,of,abundance,,,,,
MAPK1,TCF3,phosphorylation,,,,,,,
MAPK1,TCF3,phosphorylation,,,,,,,
MAPK1,TCF3,phosphorylation,,,,,,,
MAPK1,TCF3,phosphorylation,,,,,,,
MAPKAPK2,TCF3,phosphorylation,,,,,,,
MAPKAPK2,TCF3,phosphorylation,,,,,,,
MAPKAPK2,TCF3,phosphorylation,,,,,,,
MAPKAPK2,TCF3,phosphorylation,,,,,,,
MAPKAPK2,TCF3,phosphorylation,,,,,,,
MAPKAPK2,TCF3,phosphorylation,,,,,,,
MAPKAPK2,TCF3,phosphorylation,,,,,,,
MAPKAPK3,TCF3,phosphorylation,,,,,,,
NOTCH1,TCF3,decrease,of,abundance,,,,,
NOTCH1,TCF3,decrease,of,abundance,,,,,
MAPK9,TP53,activation;,binding;,phosphorylation,,,,,
MDM2,TP53,ubiquitination,,,,,,,
SETD7,TP53,methylation,,,,,,,
PPP4C,TRIM28,dephosphorylation,,,,,,,
CUL1:ELK1:FBXO25:RBX1:SKP1,UBE2D3,ubiquitination,,,,,,,
NFKBIA,UBE2I,conjugation;,stabilization,,,,,,
PIAS1,UBE2I,sumoylation,,,,,,,
PIAS1,UBE2I,sumoylation,,,,,,,
SIRT1,UBE2I,deacetylation,,,,,,,
SIRT1,UBE2I,deacetylation,,,,,,,
XIAP,ubiquitin,ubiquitination,,,,,,,
STAT3,XIAP,increase,of,abundance,,,,,
MAPK8,YAP1,phosphorylation,,,,,,,
MAPK8,YAP1,phosphorylation,,,,,,,
MAPK9,YAP1,phosphorylation,,,,,,,
YAP1,YWHAZ,binding,,,,,,,
SPI1,ZBTB17,activation,,,,,,,