MO000008230	MO000009386	activates
MO000058389	MO000004672	activates
MO000058389	MO000004677	activates
MO000009403	MO000007821	activates
MO000022211	MO000007821	activates
MO000161481	MO000019481	activates
MO000019507	MO000019481	activates
MO000161481	MO000009086	activates
MO000021242	MO000019311	activates
MO000021242	MO000019310	activates
MO000034271	MO000019876	activates
MO000085403	MO000009253	activates
MO000022210	MO000009253	activates
MO000004689	MO000009253	activates
MO000021344	MO000013123	activates
MO000009386	MO000004672	activates
MO000009386	MO000004677	activates
MO000009086	MO000009386	activates
MO000060191	MO000009386	activates
MO000022231	MO000022227	activates
MO000255879	MO000016989	inactivates
MO000255877	MO000016989	inactivates
MO000032670	MO000013123	inactivates
MO000032670	MO000078237	inactivates
MO000032670	MO000078241	inactivates
MO000032670	MO000165730	inactivates
MO000102668	MO000089506	activates
MO000042756	MO000016989	inactivates
MO000004681	MO000018137	activates
MO000004677	MO000018137	activates
MO000020924	MO000004928	inactivates
MO000018901	MO000017049	activates
MO000042756	MO000017049	activates
MO000042756	MO000058538	activates
MO000130269	MO000009386	activates
MO000058481	MO000021172	inactivates
MO000004681	MO000009253	activates
MO000004688	MO000009253	activates
MO000137417	MO000009253	activates
MO000004681	MO000032335	activates
MO000137417	MO000032352	activates
MO000137417	MO000022265	activates
MO000016989	MO000017049	inactivates
MO000016989	MO000058538	inactivates
MO000057456	MO000017049	inactivates
MO000080970	MO000017049	inactivates
MO000057456	MO000058538	inactivates
MO000080970	MO000058538	inactivates
MO000084423	MO000030859	activates
MO000030861	MO000009339	inactivates
MO000004681	MO000059843	activates
MO000059843	MO000004677	inactivates
MO000137417	MO000094993	activates
MO000009339	MO000009253	activates
MO000059863	MO000094993	activates
MO000085411	MO000094993	activates
MO000059867	MO000094993	activates
MO000019618	MO000017049	activates
MO000033904	MO000017049	activates
MO000020367	MO000032766	inactivates
MO000018459	MO000017049	activates
MO000022093	MO000019469	activates
MO000016989	MO000016977	inactivates
MO000021423	MO000019618	inactivates
MO000009403	MO000009339	activates
MO000021423	MO000009339	activates
MO000022211	MO000009339	activates
MO000009415	MO000009339	activates
MO000009415	MO000092896	activates
MO000092896	MO000022253	activates
MO000022205	MO000094993	activates
MO000092896	MO000009253	activates
MO000009339	MO000036634	activates
MO000059863	MO000036634	activates
MO000085411	MO000036634	activates
MO000059867	MO000036634	activates
MO000092896	MO000036634	activates
MO000022205	MO000036634	activates
MO000009086	MO000019311	activates
MO000060191	MO000019311	activates
MO000060191	MO000060084	activates
MO000009086	MO000019310	activates
MO000022211	MO000019344	inactivates
MO000021242	MO000019344	inactivates
MO000004681	MO000036634	activates
MO000004688	MO000036634	activates
MO000004677	MO000019469	activates
MO000032562	MO000005412	activates
MO000019315	MO000019975	activates
MO000019792	MO000020367	activates
MO000137417	MO000089506	activates
MO000018901	MO000019469	inactivates
MO000009086	MO000022227	activates
MO000032614	MO000022227	activates
MO000255997	MO000022227	activates
MO000022232	MO000022227	activates
MO000161481	MO000042946	activates
MO000022168	MO000022227	activates
MO000019311	MO000019315	inactivates
MO000060084	MO000022081	activates
MO000009339	MO000022208	inactivates
MO000030904	MO000022208	inactivates
MO000009415	MO000022209	inactivates
MO000009339	MO000016677	activates
MO000059863	MO000018962	activates
MO000085411	MO000018962	activates
MO000059867	MO000018962	activates
MO000022217	MO000009339	inactivates
MO000022168	MO000022227	inactivates
MO000021423	MO000030904	inactivates
MO000022231	MO000030904	inactivates
MO000022168	MO000030904	activates
MO000009086	MO000019310	inactivates
MO000060191	MO000019310	inactivates
MO000009086	MO000019311	inactivates
MO000060191	MO000019311	inactivates
MO000022168	MO000022217	activates
MO000019344	MO000009339	inactivates
MO000022168	MO000022211	inactivates
MO000022208	MO000009253	inactivates
MO000017774	MO000020628	inactivates
MO000023642	MO000092896	activates
MO000059863	MO000018901	activates
MO000085411	MO000018901	activates
MO000059867	MO000018901	activates
MO000030859	MO000030860	inactivates
MO000021423	MO000030860	inactivates
MO000030861	MO000030859	activates
MO000126134	MO000031000	activates
MO000030859	MO000019548	activates
MO000030900	MO000022227	inactivates
MO000021423	MO000007821	activates
MO000023536	MO000023445	inactivates
MO000019548	MO000023311	activates
MO000022399	MO000021748	activates
MO000031006	MO000030895	inactivates
MO000020398	MO000031189	inactivates
MO000020398	MO000031006	inactivates
MO000020367	MO000105854	activates
MO000102668	MO000032381	activates
MO000032436	MO000009386	inactivates
MO000021172	MO000019315	inactivates
MO000033272	MO000020701	inactivates
MO000019363	MO000033264	activates
MO000033264	MO000018901	activates
MO000019315	MO000018901	activates
MO000019310	MO000019363	inactivates
MO000033272	MO000031935	inactivates
MO000022081	MO000019363	inactivates
MO000009086	MO000013123	inactivates
MO000009086	MO000078237	inactivates
MO000009086	MO000078241	inactivates
MO000009086	MO000165730	inactivates
MO000060191	MO000013123	inactivates
MO000060191	MO000078237	inactivates
MO000060191	MO000078241	inactivates
MO000060191	MO000165730	inactivates
MO000032652	MO000004677	activates
MO000056654	MO000018137	inactivates
MO000019985	MO000018137	inactivates
MO000033565	MO000079681	inactivates
MO000059157	MO000161481	activates
MO000022205	MO000161481	activates
MO000085403	MO000161481	activates
MO000034393	MO000017421	activates
MO000033272	MO000016989	inactivates
MO000102458	MO000016989	inactivates
MO000102457	MO000016989	inactivates
MO000255877	MO000018137	inactivates
MO000255877	MO000079681	inactivates
MO000032335	MO000018137	inactivates
MO000032335	MO000079681	inactivates
MO000032352	MO000018137	activates
MO000030859	MO000019469	inactivates
MO000035206	MO000056654	inactivates
MO000030998	MO000019469	inactivates
MO000058481	MO000019507	inactivates
MO000017421	MO000019985	inactivates
MO000019310	MO000019315	inactivates
MO000022227	MO000007821	activates
MO000032664	MO000019344	activates
MO000030860	MO000019469	inactivates
MO000022231	MO000022227	inactivates
MO000022232	MO000022227	inactivates
MO000022227	MO000007821	inactivates
MO000034342	MO000004677	inactivates
MO000032711	MO000004677	inactivates
MO000032711	MO000009339	activates
MO000022208	MO000009339	inactivates
MO000030861	MO000009339	inactivates
MO000009403	MO000022217	inactivates
MO000036570	MO000022217	inactivates
MO000036570	MO000022211	inactivates
MO000036570	MO000009415	inactivates
MO000036590	MO000092896	inactivates
MO000033756	MO000009339	activates
MO000036590	MO000009339	activates
MO000036590	MO000022208	inactivates
MO000036590	MO000022210	activates
MO000036634	MO000013123	inactivates
MO000036634	MO000078237	inactivates
MO000036634	MO000078241	inactivates
MO000036634	MO000165730	inactivates
MO000057454	MO000013123	inactivates
MO000057454	MO000078237	inactivates
MO000057454	MO000078241	inactivates
MO000057454	MO000165730	inactivates
MO000036634	MO000013123	activates
MO000036634	MO000078237	activates
MO000036634	MO000078241	activates
MO000036634	MO000165730	activates
MO000004677	MO000036634	inactivates
MO000009339	MO000036634	inactivates
MO000022209	MO000036634	inactivates
MO000030998	MO000032335	activates
MO000033485	MO000032335	activates
MO000030859	MO000032335	activates
MO000022227	MO000022210	activates
MO000009339	MO000009253	inactivates
MO000059863	MO000009253	inactivates
MO000085411	MO000009253	inactivates
MO000059867	MO000009253	inactivates
MO000022209	MO000009253	inactivates
MO000004689	MO000009253	inactivates
MO000059157	MO000009253	inactivates
MO000022208	MO000036634	inactivates
MO000018901	MO000017049	inactivates
MO000018901	MO000058538	inactivates
MO000157932	MO000030959	activates
MO000020360	MO000021172	activates
MO000038746	MO000013123	inactivates
MO000038746	MO000078237	inactivates
MO000038746	MO000078241	inactivates
MO000038746	MO000165730	inactivates
MO000008180	MO000038746	activates
MO000030998	MO000019548	inactivates
MO000033485	MO000019548	inactivates
MO000019309	MO000041170	inactivates
MO000030900	MO000022227	activates
MO000032614	MO000021423	inactivates
MO000255997	MO000021423	inactivates
MO000036634	MO000117253	inactivates
MO000057454	MO000117253	inactivates
MO000255877	MO000117253	inactivates
MO000033272	MO000033243	inactivates
MO000033243	MO000057745	inactivates
MO000009339	MO000105854	inactivates
MO000059863	MO000020398	inactivates
MO000085411	MO000020398	inactivates
MO000059867	MO000020398	inactivates
MO000005412	MO000058538	inactivates
MO000019548	MO000032481	inactivates
MO000019548	MO000082438	inactivates
MO000056623	MO000082438	inactivates
MO000016989	MO000044348	inactivates
MO000016989	MO000133252	inactivates
MO000057456	MO000044348	inactivates
MO000080970	MO000044348	inactivates
MO000057456	MO000133252	inactivates
MO000080970	MO000133252	inactivates
MO000044865	MO000019548	inactivates
MO000045001	MO000023365	inactivates
MO000045001	MO000019548	activates
MO000079236	MO000019469	inactivates
MO000079236	MO000058322	inactivates
MO000021748	MO000022403	inactivates
MO000021748	MO000096187	inactivates
MO000045420	MO000022403	inactivates
MO000045420	MO000096187	inactivates
MO000102458	MO000022403	activates
MO000102457	MO000096187	activates
MO000102458	MO000096187	activates
MO000032481	MO000198783	activates
MO000023365	MO000019985	activates
MO000088373	MO000017049	inactivates
MO000088373	MO000058538	inactivates
MO000016677	MO000017049	inactivates
MO000016677	MO000058538	inactivates
MO000018962	MO000017049	inactivates
MO000060210	MO000058538	inactivates
MO000019311	MO000017049	inactivates
MO000019311	MO000058538	inactivates
MO000060084	MO000017049	inactivates
MO000060084	MO000058538	inactivates
MO000019310	MO000017049	inactivates
MO000060068	MO000017049	inactivates
MO000060068	MO000058538	inactivates
MO000021383	MO000017049	activates
MO000022265	MO000018137	inactivates
MO000022265	MO000079681	inactivates
MO000255879	MO000018137	inactivates
MO000255879	MO000079681	inactivates
MO000020628	MO000019469	inactivates
MO000016989	MO000019469	inactivates
MO000057456	MO000019469	inactivates
MO000080970	MO000019469	inactivates
MO000023445	MO000016677	activates
MO000018962	MO000019475	inactivates
MO000004672	MO000031003	inactivates
MO000021344	MO000031003	inactivates
MO000021344	MO000004677	inactivates
MO000020436	MO000004677	inactivates
MO000034342	MO000004677	inactivates
MO000176198	MO000004677	inactivates
MO000034342	MO000004677	inactivates
MO000176197	MO000004677	inactivates
MO000004688	MO000079051	activates
MO000009386	MO000016989	inactivates
MO000016989	MO000017049	activates
MO000034271	MO000025800	inactivates
MO000008180	MO000019315	inactivates
MO000032335	MO000019315	inactivates
MO000255877	MO000019315	inactivates
MO000020924	MO000019315	activates
MO000030861	MO000007821	activates
MO000092896	MO000009253	inactivates
MO000022205	MO000009253	inactivates
MO000031935	MO000009386	inactivates
MO000004688	MO000009410	inactivates
MO000009339	MO000022208	inactivates
MO000009403	MO000022208	inactivates
MO000009339	MO000022208	inactivates
MO000021423	MO000022208	inactivates
MO000009339	MO000022208	inactivates
MO000022227	MO000022208	inactivates
MO000009403	MO000022210	inactivates
MO000022211	MO000022210	inactivates
MO000088373	MO000019481	inactivates
MO000021743	MO000022403	inactivates
MO000007821	MO000085616	inactivates
MO000030998	MO000085616	inactivates
MO000033485	MO000085616	inactivates
MO000085616	MO000027350	activates
MO000255877	MO000032335	inactivates
MO000088373	MO000013123	inactivates
MO000088373	MO000078237	inactivates
MO000088373	MO000078241	inactivates
MO000088373	MO000165730	inactivates
MO000007821	MO000013123	inactivates
MO000007821	MO000078237	inactivates
MO000030998	MO000165730	inactivates
MO000033485	MO000165730	inactivates
MO000007821	MO000078241	inactivates
MO000007821	MO000165730	inactivates
MO000030998	MO000013123	inactivates
MO000033485	MO000013123	inactivates
MO000030998	MO000078237	inactivates
MO000033485	MO000078237	inactivates
MO000030998	MO000078241	inactivates
MO000033485	MO000078241	inactivates
MO000102668	MO000013123	inactivates
MO000102668	MO000078237	inactivates
MO000102668	MO000078241	inactivates
MO000102668	MO000165730	inactivates
MO000009339	MO000013123	inactivates
MO000009339	MO000078237	inactivates
MO000059863	MO000078241	inactivates
MO000085411	MO000078241	inactivates
MO000059867	MO000078241	inactivates
MO000059863	MO000165730	inactivates
MO000085411	MO000165730	inactivates
MO000059867	MO000165730	inactivates
MO000009339	MO000078241	inactivates
MO000009339	MO000165730	inactivates
MO000059863	MO000013123	inactivates
MO000085411	MO000013123	inactivates
MO000059867	MO000013123	inactivates
MO000059863	MO000078237	inactivates
MO000085411	MO000078237	inactivates
MO000059867	MO000078237	inactivates
MO000017421	MO000016989	activates
MO000016677	MO000017049	activates
MO000016677	MO000058538	activates
MO000016989	MO000019469	activates
MO000016989	MO000058322	activates
MO000019311	MO000017049	activates
MO000019311	MO000058538	activates
MO000019310	MO000017049	activates
MO000019310	MO000058538	activates
MO000007821	MO000013123	activates
MO000009386	MO000016989	activates
MO000022227	MO000009339	activates
MO000009339	MO000013123	activates
MO000009339	MO000078237	activates
MO000009339	MO000078241	activates
MO000009339	MO000165730	activates
MO000020436	MO000004677	activates
MO000032335	MO000019315	activates
MO000102668	MO000054152	activates
MO000023642	MO000023536	activates
MO000030998	MO000033904	inactivates
MO000033485	MO000033904	inactivates
MO000030859	MO000033904	inactivates
MO000004677	MO000034342	inactivates
MO000009386	MO000034342	inactivates
MO000017421	MO000021383	inactivates
MO000058481	MO000021383	inactivates
MO000022205	MO000019469	inactivates
MO000085403	MO000019469	inactivates
MO000092896	MO000058322	inactivates
MO000022210	MO000058322	inactivates
MO000004689	MO000058322	inactivates
MO000022209	MO000058322	inactivates
MO000059157	MO000058322	inactivates
MO000092896	MO000019469	inactivates
MO000022205	MO000058322	inactivates
MO000085403	MO000058322	inactivates
MO000022210	MO000019469	inactivates
MO000004689	MO000019469	inactivates
MO000022209	MO000019469	inactivates
MO000059157	MO000019469	inactivates
MO000009410	MO000004677	inactivates
MO000137417	MO000031003	activates
MO000137417	MO000034342	activates
MO000004681	MO000016677	inactivates
MO000004688	MO000016677	inactivates
MO000137417	MO000016677	inactivates
MO000004681	MO000018962	inactivates
MO000004688	MO000018962	inactivates
MO000004677	MO000018962	inactivates
MO000137417	MO000018962	inactivates
MO000004681	MO000082277	inactivates
MO000004688	MO000082277	inactivates
MO000030900	MO000009386	inactivates
MO000021172	MO000058389	inactivates
MO000178581	MO000009386	inactivates
MO000057036	MO000009386	inactivates
MO000178581	MO000058389	inactivates
MO000057036	MO000058389	inactivates
MO000178581	MO000121450	inactivates
MO000057036	MO000121450	inactivates
MO000030959	MO000024773	activates
MO000009386	MO000024773	activates
MO000009386	MO000004672	inactivates
MO000030959	MO000032492	activates
MO000030959	MO000024771	activates
MO000030959	MO000024920	activates
MO000004672	MO000032492	inactivates
MO000004677	MO000024773	inactivates
MO000004677	MO000024920	inactivates
MO000004677	MO000032492	inactivates
MO000004677	MO000024771	inactivates
MO000057624	MO000004672	inactivates
MO000057624	MO000004677	inactivates
MO000022210	MO000033756	activates
MO000085403	MO000022208	activates
MO000009086	MO000021423	inactivates
MO000021423	MO000030904	inactivates
MO000060191	MO000030904	inactivates
MO000021172	MO000004672	inactivates
MO000178581	MO000004677	inactivates
MO000057036	MO000004677	inactivates
MO000021172	MO000004677	inactivates
MO000030998	MO000022400	inactivates
MO000033485	MO000022400	inactivates
MO000022400	MO000022399	inactivates
MO000034393	MO000022399	inactivates
MO000009339	MO000022208	inactivates
MO000145136	MO000022208	inactivates
MO000021743	MO000018137	inactivates
MO000022231	MO000019311	inactivates
MO000004677	MO000013123	inactivates
MO000004677	MO000078237	inactivates
MO000004677	MO000078241	inactivates
MO000004677	MO000165730	inactivates
MO000004688	MO000018137	inactivates
MO000004688	MO000079681	inactivates
MO000079049	MO000079681	inactivates
MO000021242	MO000032436	inactivates
MO000009339	MO000019469	inactivates
MO000009339	MO000058322	inactivates
MO000059863	MO000019469	inactivates
MO000085411	MO000019469	inactivates
MO000059867	MO000019469	inactivates
MO000059863	MO000058322	inactivates
MO000085411	MO000058322	inactivates
MO000059867	MO000058322	inactivates
MO000022231	MO000019310	inactivates
MO000036634	MO000017421	inactivates
MO000057454	MO000017421	inactivates
MO000130269	MO000009386	inactivates
MO000008230	MO000009386	inactivates
MO000008230	MO000058389	inactivates
MO000032614	MO000009410	inactivates
MO000255997	MO000009410	inactivates
MO000030998	MO000089506	inactivates
MO000033485	MO000089506	inactivates
MO000030859	MO000089506	inactivates
MO000032335	MO000016989	inactivates
MO000089506	MO000016989	inactivates
MO000017421	MO000021172	inactivates
MO000025800	MO000019469	activates
MO000025800	MO000034342	activates
MO000059843	MO000004677	activates
MO000004928	MO000021172	activates
MO000021454	MO000018137	activates
MO000060543	MO000018137	activates
MO000017421	MO000016989	inactivates
MO000022227	MO000019469	inactivates
MO000022227	MO000058322	inactivates
MO000016989	MO000019363	inactivates
MO000057456	MO000019363	inactivates
MO000080970	MO000019363	inactivates
MO000016989	MO000079319	inactivates
MO000080970	MO000257758	inactivates
MO000057456	MO000025736	inactivates
MO000080970	MO000025736	inactivates
MO000057456	MO000079350	inactivates
MO000080970	MO000079350	inactivates
MO000016989	MO000257758	inactivates
MO000016989	MO000025736	inactivates
MO000016989	MO000079350	inactivates
MO000057456	MO000079319	inactivates
MO000080970	MO000079319	inactivates
MO000057456	MO000257758	inactivates
